time_ms,x,y,z,yaw_deg,pitch_deg,roll_deg,jam1_on,jam2_on,jam_db1,jam_db2
0,20000.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
200,19960.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
400,19920.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
600,19880.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
800,19840.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
1000,19800.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
1200,19760.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
1400,19720.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
1600,19680.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
1800,19640.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
2000,19600.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
2200,19560.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
2400,19520.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
2600,19480.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
2800,19440.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
3000,19400.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
3200,19360.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
3400,19320.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
3600,19280.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
3800,19240.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
4000,19200.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
4200,19160.0,0.0,1000.0,270.0,0.0,0.0,0,0,-11.5,-11.5
